q,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","meta_(0.0, 0.05]","meta_(0.05, 0.1]","meta_(0.1, 0.15]","meta_(0.15, 0.2]","meta_(0.2, 0.25]","meta_(0.25, 0.3]","meta_(0.3, 0.35]","meta_(0.35, 0.4]","meta_(0.4, 0.45]","meta_(0.45, 0.5]","meta_(0.5, 0.55]","meta_(0.55, 0.6]","meta_(0.6, 0.65]","meta_(0.65, 0.7]","meta_(0.7, 0.75]","meta_(0.75, 0.8]","meta_(0.8, 0.85]","meta_(0.85, 0.9]","meta_(0.9, 0.95]","meta_(0.95, 1.0]",number_of_participants,own,x0_dermatology,x0_state,x0_trivia_Beijing,x0_trivia_Berlin,x0_trivia_Boer,x0_trivia_Borneo,x0_trivia_Georgia,x0_trivia_Greek,x0_trivia_Memphis,x0_trivia_Ocean,x0_trivia_Rosetta,x0_trivia_Tin,x0_trivia_africa,x0_trivia_alex,x0_trivia_alpha,x0_trivia_anagram,x0_trivia_andes,x0_trivia_aorta,x0_trivia_atlantic,x0_trivia_baikal,x0_trivia_bigben,x0_trivia_billy,x0_trivia_birm,x0_trivia_brass,x0_trivia_china,x0_trivia_churchil,x0_trivia_constant,x0_trivia_cow,x0_trivia_custer,x0_trivia_cyprus,x0_trivia_death,x0_trivia_dot,x0_trivia_ecuador,x0_trivia_eggs,x0_trivia_einstein,x0_trivia_euro,x0_trivia_faroe,x0_trivia_femur,x0_trivia_fluffy,x0_trivia_french,x0_trivia_hydrogen,x0_trivia_iberian,x0_trivia_indiana,x0_trivia_insects,x0_trivia_iron,x0_trivia_japan,x0_trivia_jhb,x0_trivia_joan,x0_trivia_jupiter,x0_trivia_khan,x0_trivia_kili,x0_trivia_kyrgyz,x0_trivia_landl,x0_trivia_leg,x0_trivia_leptons,x0_trivia_letters,x0_trivia_lincoln,x0_trivia_living,x0_trivia_louis,x0_trivia_macbeth,x0_trivia_moldova,x0_trivia_mozam,x0_trivia_muon,x0_trivia_nero,x0_trivia_newz,x0_trivia_nigeria,x0_trivia_nile,x0_trivia_nitrogen,x0_trivia_norway,x0_trivia_red,x0_trivia_riverSA,x0_trivia_rocket,x0_trivia_rome,x0_trivia_russian,x0_trivia_sahara,x0_trivia_station,x0_trivia_uranus,x0_trivia_vjday,x0_trivia_widow,x0_trivia_wu,x0_trivia_year,x0_trivia_zip,actual
Alabama,0.0,0.24242424242424246,0.0,0.12121212121212123,0.12121212121212123,0.030303030303030307,0.0,0.060606060606060615,0.030303030303030307,0.21212121212121213,0.0,0.0,0.0,0.030303030303030307,0.0,0.0,0.0,0.15151515151515152,0.0,0.12121212121212123,0.0,0.15151515151515152,0.060606060606060615,0.15151515151515152,0.030303030303030307,0.18181818181818185,0.0,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.12439408271422414,0.5757575757575758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alaska,0.0,0.060606060606060615,0.0,0.060606060606060615,0.0,0.15151515151515152,0.030303030303030307,0.09090909090909093,0.0,0.42424242424242425,0.0,0.030303030303030307,0.0,0.09090909090909093,0.0,0.060606060606060615,0.030303030303030307,0.15151515151515152,0.0,0.030303030303030307,0.060606060606060615,0.12121212121212123,0.030303030303030307,0.09090909090909093,0.060606060606060615,0.09090909090909093,0.0,0.09090909090909093,0.030303030303030307,0.030303030303030307,0.12439408271422414,0.3939393939393939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Arizona,0.030303030303030307,0.09090909090909093,0.0,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.0,0.18181818181818185,0.030303030303030307,0.3636363636363637,0.030303030303030307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060606060606060615,0.030303030303030307,0.060606060606060615,0.0,0.12121212121212123,0.030303030303030307,0.3333333333333333,0.09090909090909093,0.12121212121212123,0.030303030303030307,0.09090909090909093,0.12439408271422414,0.8484848484848485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Arkansas,0.0,0.12121212121212123,0.060606060606060615,0.09090909090909093,0.060606060606060615,0.030303030303030307,0.0,0.09090909090909093,0.030303030303030307,0.3636363636363637,0.030303030303030307,0.0,0.0,0.0,0.0,0.060606060606060615,0.0,0.0,0.0,0.12121212121212123,0.060606060606060615,0.030303030303030307,0.030303030303030307,0.15151515151515152,0.15151515151515152,0.24242424242424246,0.030303030303030307,0.060606060606060615,0.0,0.030303030303030307,0.12439408271422414,0.7575757575757576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
California,0.0,0.030303030303030307,0.0,0.0,0.0,0.09090909090909093,0.030303030303030307,0.060606060606060615,0.0,0.696969696969697,0.030303030303030307,0.09090909090909093,0.030303030303030307,0.030303030303030307,0.09090909090909093,0.030303030303030307,0.0,0.09090909090909093,0.0,0.15151515151515152,0.0,0.0,0.030303030303030307,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.0,0.15151515151515152,0.09090909090909093,0.060606060606060615,0.12439408271422414,0.24242424242424246,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colorado,0.0,0.030303030303030307,0.030303030303030307,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.060606060606060615,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212123,0.0,0.0,0.030303030303030307,0.060606060606060615,0.09090909090909093,0.3939393939393939,0.09090909090909093,0.15151515151515152,0.060606060606060615,0.0,0.12439408271422414,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Connecticut,0.060606060606060615,0.15151515151515152,0.0,0.09090909090909093,0.0,0.060606060606060615,0.0,0.060606060606060615,0.0,0.4545454545454545,0.0,0.12121212121212123,0.030303030303030307,0.060606060606060615,0.060606060606060615,0.060606060606060615,0.030303030303030307,0.060606060606060615,0.0,0.24242424242424246,0.0,0.12121212121212123,0.0,0.09090909090909093,0.060606060606060615,0.060606060606060615,0.0,0.0,0.0,0.0,0.12439408271422414,0.09090909090909093,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Delaware,0.0,0.09090909090909093,0.0,0.060606060606060615,0.0,0.18181818181818185,0.030303030303030307,0.030303030303030307,0.0,0.30303030303030304,0.0,0.030303030303030307,0.0,0.030303030303030307,0.0,0.09090909090909093,0.0,0.060606060606060615,0.0,0.21212121212121213,0.0,0.12121212121212123,0.030303030303030307,0.15151515151515152,0.030303030303030307,0.12121212121212123,0.060606060606060615,0.060606060606060615,0.0,0.0,0.12439408271422414,0.5151515151515151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Florida,0.0,0.060606060606060615,0.0,0.12121212121212123,0.030303030303030307,0.030303030303030307,0.030303030303030307,0.09090909090909093,0.0,0.5454545454545454,0.030303030303030307,0.09090909090909093,0.0,0.0,0.030303030303030307,0.12121212121212123,0.030303030303030307,0.09090909090909093,0.060606060606060615,0.18181818181818185,0.0,0.060606060606060615,0.0,0.15151515151515152,0.030303030303030307,0.060606060606060615,0.030303030303030307,0.0,0.0,0.030303030303030307,0.12439408271422414,0.30303030303030304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Georgia,0.030303030303030307,0.060606060606060615,0.0,0.060606060606060615,0.0,0.15151515151515152,0.0,0.12121212121212123,0.030303030303030307,0.4848484848484849,0.0,0.060606060606060615,0.0,0.0,0.0,0.030303030303030307,0.0,0.0,0.0,0.060606060606060615,0.0,0.030303030303030307,0.0,0.060606060606060615,0.060606060606060615,0.15151515151515152,0.060606060606060615,0.30303030303030304,0.030303030303030307,0.15151515151515152,0.12439408271422414,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
