,meta,confidence,correct_response
0,0.0,0.5,5
1,0.0,0.6,8
2,0.0,0.7,1
3,0.0,0.9,4
4,0.0,1.0,24
5,0.01,0.5,2
6,0.01,0.6,1
7,0.01,1.0,10
8,0.02,0.5,1
9,0.02,1.0,0
10,0.03,0.55,1
11,0.05,0.5,3
12,0.05,0.6,1
13,0.05,0.7,1
14,0.05,0.8,1
15,0.05,0.9,0
16,0.05,1.0,15
17,0.07,0.7,0
18,0.07,0.9,1
19,0.08,0.7,1
20,0.08,1.0,2
21,0.09,1.0,2
22,0.1,0.5,4
23,0.1,0.6,4
24,0.1,0.7,4
25,0.1,0.8,7
26,0.1,0.9,38
27,0.1,1.0,41
28,0.11,0.8,2
29,0.11,1.0,0
30,0.12,0.5,0
31,0.12,0.6,1
32,0.12,0.9,1
33,0.12,1.0,1
34,0.13,0.5,1
35,0.13,1.0,1
36,0.14,0.8,1
37,0.14,0.9,0
38,0.14,1.0,2
39,0.15,0.5,1
40,0.15,0.6,1
41,0.15,0.7,0
42,0.15,0.8,3
43,0.15,0.9,5
44,0.15,1.0,16
45,0.16,0.6,2
46,0.16,0.8,1
47,0.18,1.0,2
48,0.19,0.5,1
49,0.19,1.0,1
50,0.2,0.5,12
51,0.2,0.6,12
52,0.2,0.7,7
53,0.2,0.8,25
54,0.2,0.9,81
55,0.2,1.0,24
56,0.21,0.8,1
57,0.21,0.9,1
58,0.22,0.5,0
59,0.22,0.6,0
60,0.22,0.7,0
61,0.22,0.8,1
62,0.23,0.5,1
63,0.23,0.6,1
64,0.23,0.7,1
65,0.23,0.9,0
66,0.24,0.5,0
67,0.24,0.6,1
68,0.24,0.7,1
69,0.24,0.8,1
70,0.24,0.9,1
71,0.25,0.5,9
72,0.25,0.6,9
73,0.25,0.7,8
74,0.25,0.8,7
75,0.25,0.9,4
76,0.25,1.0,11
77,0.26,0.5,1
78,0.28,0.5,1
79,0.28,0.7,1
80,0.28,0.8,0
81,0.29,0.6,2
82,0.29,0.7,0
83,0.3,0.5,18
84,0.3,0.55,0
85,0.3,0.6,28
86,0.3,0.7,38
87,0.3,0.8,47
88,0.3,0.85,1
89,0.3,0.9,27
90,0.3,1.0,18
91,0.31,0.5,1
92,0.32,0.6,1
93,0.32,0.7,0
94,0.33,0.5,0
95,0.33,0.6,0
96,0.33,0.7,2
97,0.33,0.9,0
98,0.33,1.0,2
99,0.34,0.5,2
100,0.34,0.6,1
101,0.34,0.7,3
102,0.34,0.8,1
103,0.34,1.0,0
104,0.35,0.5,8
105,0.35,0.6,4
106,0.35,0.7,11
107,0.35,0.8,3
108,0.35,0.9,1
109,0.35,1.0,5
110,0.36,0.5,2
111,0.36,0.7,0
112,0.37,0.5,1
113,0.37,0.6,0
114,0.37,0.7,1
115,0.37,0.8,0
116,0.38,0.5,0
117,0.38,0.6,1
118,0.38,0.7,1
119,0.38,1.0,1
120,0.39,0.5,1
121,0.39,0.6,1
122,0.4,0.5,34
123,0.4,0.6,55
124,0.4,0.7,55
125,0.4,0.75,1
126,0.4,0.8,26
127,0.4,0.9,14
128,0.4,1.0,37
129,0.41,0.5,1
130,0.41,0.6,0
131,0.41,0.7,0
132,0.42,0.5,1
133,0.43,0.5,1
134,0.43,0.58,1
135,0.43,0.7,1
136,0.44,0.5,10
137,0.44,0.6,3
138,0.44,0.66,1
139,0.44,0.7,1
140,0.44,0.8,0
141,0.44,0.88,1
142,0.44,0.9,0
143,0.44,1.0,4
144,0.45,0.5,5
145,0.45,0.6,7
146,0.45,0.7,8
147,0.45,0.75,2
148,0.45,0.8,6
149,0.45,0.85,1
150,0.45,0.9,3
151,0.45,1.0,2
152,0.46,0.5,4
153,0.46,0.7,1
154,0.46,0.9,1
155,0.47,0.5,1
156,0.47,0.6,1
157,0.47,0.8,1
158,0.48,0.5,1
159,0.48,0.6,1
160,0.48,0.8,0
161,0.49,0.5,2
162,0.49,0.6,1
163,0.5,0.5,412
164,0.5,0.52,2
165,0.5,0.53,0
166,0.5,0.55,0
167,0.5,0.6,99
168,0.5,0.7,105
169,0.5,0.75,1
170,0.5,0.8,88
171,0.5,0.9,26
172,0.5,0.95,1
173,0.5,1.0,66
174,0.51,0.6,2
175,0.52,0.5,3
176,0.52,0.6,3
177,0.52,0.7,1
178,0.52,0.9,1
179,0.53,0.5,0
180,0.53,0.6,3
181,0.53,0.7,0
182,0.54,0.6,1
183,0.54,0.7,1
184,0.54,0.8,0
185,0.54,0.9,1
186,0.54,1.0,1
187,0.55,0.5,9
188,0.55,0.55,3
189,0.55,0.6,20
190,0.55,0.65,1
191,0.55,0.66,1
192,0.55,0.7,5
193,0.55,0.77,2
194,0.55,0.8,5
195,0.55,0.9,1
196,0.55,0.95,1
197,0.55,0.99,1
198,0.55,1.0,3
199,0.56,0.5,3
200,0.56,0.6,1
201,0.56,0.7,1
202,0.56,0.8,1
203,0.56,0.9,0
204,0.57,0.6,1
205,0.57,0.7,2
206,0.57,0.8,0
207,0.58,0.5,0
208,0.58,0.6,2
209,0.58,0.7,0
210,0.59,0.6,0
211,0.59,0.8,1
212,0.6,0.5,52
213,0.6,0.51,1
214,0.6,0.52,0
215,0.6,0.53,0
216,0.6,0.54,0
217,0.6,0.55,6
218,0.6,0.6,64
219,0.6,0.65,0
220,0.6,0.68,1
221,0.6,0.7,61
222,0.6,0.75,2
223,0.6,0.8,77
224,0.6,0.85,3
225,0.6,0.86,1
226,0.6,0.9,21
227,0.6,0.95,1
228,0.6,1.0,32
229,0.61,0.5,2
230,0.61,0.6,1
231,0.61,0.7,2
232,0.61,0.8,1
233,0.61,0.9,1
234,0.62,0.5,1
235,0.62,0.6,1
236,0.63,0.5,0
237,0.63,0.6,3
238,0.63,0.7,1
239,0.63,0.8,1
240,0.64,0.6,1
241,0.64,0.7,1
242,0.64,0.8,0
243,0.64,0.9,1
244,0.65,0.5,9
245,0.65,0.55,2
246,0.65,0.6,9
247,0.65,0.65,0
248,0.65,0.7,16
249,0.65,0.75,2
250,0.65,0.8,8
251,0.65,0.9,5
252,0.65,1.0,7
253,0.66,0.5,0
254,0.66,0.66,1
255,0.66,0.7,1
256,0.66,0.77,0
257,0.66,0.8,2
258,0.66,0.9,0
259,0.66,0.99,3
260,0.66,1.0,2
261,0.67,0.5,1
262,0.67,0.6,2
263,0.67,0.7,5
264,0.67,0.8,1
265,0.67,1.0,1
266,0.68,0.5,0
267,0.68,0.6,0
268,0.68,0.7,1
269,0.68,0.76,0
270,0.68,0.8,0
271,0.68,1.0,0
272,0.69,0.7,1
273,0.7,0.5,16
274,0.7,0.51,1
275,0.7,0.52,0
276,0.7,0.53,1
277,0.7,0.55,4
278,0.7,0.6,44
279,0.7,0.65,4
280,0.7,0.7,49
281,0.7,0.75,5
282,0.7,0.8,62
283,0.7,0.85,0
284,0.7,0.9,60
285,0.7,0.95,1
286,0.7,1.0,43
287,0.71,0.7,2
288,0.71,0.8,1
289,0.72,0.6,0
290,0.72,0.7,1
291,0.72,0.8,0
292,0.72,0.9,1
293,0.73,0.6,0
294,0.73,0.7,1
295,0.73,1.0,1
296,0.74,0.7,3
297,0.74,0.8,2
298,0.74,0.9,1
299,0.74,1.0,2
300,0.75,0.5,13
301,0.75,0.55,1
302,0.75,0.6,9
303,0.75,0.65,3
304,0.75,0.7,10
305,0.75,0.75,4
306,0.75,0.8,18
307,0.75,0.85,0
308,0.75,0.88,1
309,0.75,0.9,9
310,0.75,1.0,24
311,0.76,0.7,1
312,0.76,0.8,3
313,0.76,0.87,0
314,0.76,0.9,0
315,0.76,0.96,0
316,0.77,0.55,1
317,0.77,0.7,1
318,0.77,0.77,1
319,0.77,0.8,3
320,0.77,0.88,2
321,0.77,0.9,1
322,0.77,0.99,1
323,0.77,1.0,1
324,0.78,0.6,1
325,0.78,0.7,0
326,0.78,0.8,1
