,meta,confidence,correct_response
0,0.0,0.6,8
1,0.0,0.9,4
2,0.0,1.0,24
3,0.1,0.6,2
4,0.1,0.7,0
5,0.1,0.8,0
6,0.1,0.9,29
7,0.1,1.0,11
8,0.2,0.6,2
9,0.2,0.7,2
10,0.2,0.8,13
11,0.2,0.9,64
12,0.2,1.0,3
13,0.3,0.5,1
14,0.3,0.6,6
15,0.3,0.7,28
16,0.3,0.8,26
17,0.3,0.9,15
18,0.3,1.0,3
19,0.4,0.5,2
20,0.4,0.6,7
21,0.4,0.7,22
22,0.4,0.8,17
23,0.4,0.9,3
24,0.5,0.5,5
25,0.5,0.6,24
26,0.5,0.7,50
27,0.5,0.8,55
28,0.5,0.9,2
29,0.6,0.6,3
30,0.6,0.7,13
31,0.6,0.8,49
32,0.6,0.9,10
33,0.7,0.5,0
34,0.7,0.7,3
35,0.7,0.8,29
36,0.7,0.9,38
37,0.7,1.0,0
38,0.8,0.5,1
39,0.8,0.6,0
40,0.8,0.7,0
41,0.8,0.8,11
42,0.8,0.9,85
43,0.8,1.0,14
44,0.9,0.8,2
45,0.9,0.9,72
46,0.9,1.0,52
47,1.0,0.9,8
48,1.0,1.0,174
