question,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF
'Cheval' is French for 'cow',0.41025641025641046,5,9,0.0,0,9
1 - malignant nodular melanoma.jpg,0.0769230769230769,0,0,0.0,0,0
10 - Malignant melanoma 3 (SSM).jpg,0.1538461538461538,0,0,0.0,0,0
11 - Benign hemangioma.jpg,0.16666666666666666,0,0,2.0,0,0
11 - malignant melanoma 4 (SSM).jpg,0.04000000000000001,0,0,0.0,0,0
12 - Malignant melanoma 5 (SSM).jpg,0.04000000000000001,1,1,0.0,1,1
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.0,0,0,0.0,0,0
17 - Benign Junctional Nevus.jpg,0.08333333333333333,0,0,1.0,0,0
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,0.1538461538461538,0,0,0.0,0,0
18 - Benign Granuloma Pyogenicum.jpg,0.44,6,8,11.0,6,8
19 - Benign eclipse_nevus_7_080322.jpg,0.16666666666666666,0,0,0.0,0,0
19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.16000000000000003,4,4,0.0,4,4
2 - benign trichoblastoma.jpg,0.4166666666666667,0,4,5.0,0,4
2 - maligant basal cell carcinoma morpheform.jpg,0.2307692307692308,3,3,0.0,3,3
20 - Benign sebker_1_011003.jpg,0.0,0,0,0.0,0,0
21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.12000000000000006,0,2,0.0,0,2
22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0.4166666666666667,3,5,5.0,0,5
22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,0.2307692307692308,0,0,3.0,0,0
23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0.08000000000000002,0,0,2.0,0,0
24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,0.24000000000000013,4,6,0.0,5,6
26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,0.20000000000000007,2,0,0.0,2,0
27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,0.0,0,0,0.0,0,0
28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,0.0,0,0,0.0,0,0
29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,0.0,0,0,0.0,0,0
3 - benign dermatofibroma.jpg,0.24000000000000013,5,5,0.0,5,5
