question,mean_meta,std_meta,min_meta,p25_meta,p50_meta,p75_meta,max_meta,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_meta,skew_conf,skew_row_average,skew_row_skew
'Cheval' is French for 'cow',0.5256410256410257,0.1595354253976688,0.0,0.5,0.5,0.6000000000000003,0.9799999999999998,0.6358974358974363,0.18422980427370048,0.5,0.5,0.5,0.8000000000000005,1.0,0.37966145557153785,-0.47863528225239793,1.0083235935708332,3.0880567278808972,1.1183793481171496
1 - malignant nodular melanoma.jpg,0.8153846153846155,0.1405118847058488,0.5,0.8,0.8,0.9000000000000002,1.0,0.8692307692307696,0.13155870289605437,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,-0.9578739928582246,-1.4035290754755727,2.401117585895782,2.4321773677703247
10 - Malignant melanoma 3 (SSM).jpg,0.8153846153846155,0.1675616993137843,0.5,0.7,0.9000000000000002,0.9000000000000002,1.0,0.8769230769230768,0.1165750556068647,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-2.1787168040147327,-0.6614540886267195,-1.3396944681290497,2.446029093063903,2.0998477466769154
11 - Benign hemangioma.jpg,0.8249999999999998,0.16583123951776996,0.5,0.7750000000000002,0.7999999999999999,1.0,1.0,0.8833333333333334,0.0937436866561092,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.9250000000000002,1.0,-2.0552372125864222,-0.6189703966373281,-0.4119817668025953,2.464455870184019,2.1221724160458355
11 - malignant melanoma 4 (SSM).jpg,0.8960000000000005,0.13379088160259653,0.5,0.8999999999999997,0.8999999999999997,1.0,1.0,0.9319999999999997,0.09882644720249062,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,-4.999999999999999,-1.6234065094456647,-1.8450687935250374,2.3353125819723535,4.451519605436659
12 - Malignant melanoma 5 (SSM).jpg,0.8359999999999999,0.14685593847940467,0.5,0.8000000000000003,0.8000000000000003,1.0,1.0,0.9080000000000001,0.08621678104251712,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,-4.999999999999999,-0.5157495053549611,-0.5861523276913996,2.3677076139034963,3.3403032361945715
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.9461538461538462,0.11266014242982163,0.5999999999999999,0.9000000000000002,1.0,1.0,1.0,0.976923076923077,0.05991446895152778,0.8,1.0,1.0,1.0,1.0,0.0,-2.780248042833617,-2.682395229845191,2.296704583109783,3.5444726521895835
17 - Benign Junctional Nevus.jpg,0.7000000000000001,0.12792042981336627,0.5,0.5999999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.7916666666666669,0.12401124093721456,0.5,0.7999999999999999,0.7999999999999999,0.9000000000000002,0.9000000000000002,-3.464101615137755,-0.31269438398823013,-1.5309274813634752,2.4972413961086994,2.1649808657342473
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,0.7846153846153847,0.19513309067639728,0.5,0.5999999999999999,0.8,1.0,1.0,0.9000000000000002,0.09128709291752765,0.8,0.8,0.9000000000000002,1.0,1.0,-2.178716804014733,-0.22352947935308312,0.0,2.4993041103382088,2.0096254236012703
18 - Benign Granuloma Pyogenicum.jpg,0.6639999999999999,0.14106735979665877,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.6999999999999997,0.8999999999999997,0.812,0.11298967504452197,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.2574593588973013,-0.06861139913014963,-0.6302457386665327,2.78181098852882,0.5972035732733508
19 - Benign eclipse_nevus_7_080322.jpg,0.6500000000000001,0.11677484162422845,0.5,0.5750000000000001,0.7000000000000001,0.7000000000000001,0.9000000000000002,0.7666666666666666,0.1230914909793328,0.5999999999999999,0.7000000000000001,0.75,0.8249999999999998,1.0,2.0552372125864204,0.4110474425172835,0.4159507663173621,3.0477049083031074,-2.1709953367570867
19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.708,0.1605199883711267,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8440000000000002,0.1293573860795484,0.5,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-1.9754091793527022,-0.33785525444194886,-0.9235649383660379,2.535572866806525,1.8020967890092479
2 - benign trichoblastoma.jpg,0.6749999999999999,0.13568010505999364,0.39999999999999997,0.5999999999999999,0.7000000000000001,0.7249999999999998,0.9000000000000002,0.8333333333333334,0.08876253645985945,0.7000000000000001,0.7999999999999999,0.7999999999999999,0.9000000000000002,1.0,-0.38840332498209035,-0.5077302148198368,0.13865863683670174,2.727185630919706,0.742116677463981
2 - maligant basal cell carcinoma morpheform.jpg,0.676923076923077,0.20064000163579113,0.4,0.5,0.7,0.8,1.0,0.8230769230769232,0.14232501627054275,0.5999999999999999,0.7,0.8,0.9000000000000002,1.0,-1.4511323592170853,0.4463135417133008,-0.27288066112089165,2.640401365990461,1.3016727343947692
20 - Benign sebker_1_011003.jpg,0.8160000000000001,0.307787805693035,0.0,0.8000000000000003,1.0,1.0,1.0,0.9400000000000002,0.0816496580927726,0.6999999999999997,0.8999999999999997,1.0,1.0,1.0,0.0,-1.9062265143804922,-1.3978066466969208,3.2623847532859016,2.438448474278886
21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.7959999999999997,0.14854853303438134,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.8999999999999997,0.10000000000000003,0.5999999999999998,0.8999999999999997,0.8999999999999997,1.0,1.0,-2.490745889990222,-0.17468388287728803,-1.358695652173914,2.438751054062799,2.3790657242845494
22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0.6500000000000001,0.23548788812706578,0.09999999999999998,0.5,0.65,0.8249999999999998,0.9000000000000002,0.8166666666666665,0.14668044012461756,0.5,0.7750000000000002,0.9000000000000002,0.9000000000000002,1.0,-0.38840332498209035,-1.0275144723544858,-1.1714648917709043,2.8126040756119437,1.9055887067019615
