,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own,topic,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction
'Cheval' is French for 'cow',0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.1282051282051282,0.0,0.02564102564102564,0.0,0.1282051282051282,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.05128205128205128,0.02564102564102564,0.4615384615384616,0.05128205128205128,0.1794871794871795,0.0,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,39,0.41025641025641024,trivia_cow,0.5256410256410257,0.1595354253976688,0.0,0.5,0.5,0.6000000000000003,0.9799999999999998,0.6358974358974363,0.18422980427370048,0.5,0.5,0.5,0.8000000000000005,1.0,0.37966145557153785,-0.4786352822523979,1.0083235935708332,3.088056727880897,1.1183793481171496,0.4102564102564105,5,9,0.0,0,9,0,0
1 - malignant nodular melanoma.jpg,1,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.24,0.0,0.12,0.0,0.08,25,0.9230769230769232,dermatology,0.8153846153846155,0.1405118847058488,0.5,0.8,0.8,0.9000000000000002,1.0,0.8692307692307696,0.13155870289605434,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,-0.9578739928582246,-1.4035290754755727,2.401117585895782,2.4321773677703247,0.0769230769230769,0,0,0.0,0,0,1,1
10 - Malignant melanoma 3 (SSM).jpg,1,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.16,0.0,0.12,25,0.8461538461538461,dermatology,0.8153846153846155,0.1675616993137843,0.5,0.7,0.9000000000000002,0.9000000000000002,1.0,0.8769230769230768,0.1165750556068647,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-2.1787168040147327,-0.6614540886267195,-1.3396944681290497,2.4460290930639035,2.0998477466769154,0.1538461538461538,0,0,0.0,0,0,1,1
11 - Benign hemangioma.jpg,0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.16,0.0,0.04,0.0,0.16,25,0.8333333333333334,dermatology,0.8249999999999998,0.16583123951776996,0.5,0.7750000000000002,0.7999999999999999,1.0,1.0,0.8833333333333334,0.0937436866561092,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.9250000000000002,1.0,-2.0552372125864222,-0.6189703966373281,-0.4119817668025953,2.464455870184019,2.1221724160458355,0.16666666666666666,0,0,2.0,0,0,1,1
11 - malignant melanoma 4 (SSM).jpg,1,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.28,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.12,0.0,0.32,0.0,0.44,25,0.96,dermatology,0.8960000000000005,0.13379088160259653,0.5,0.8999999999999997,0.8999999999999997,1.0,1.0,0.9319999999999996,0.09882644720249062,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,-4.999999999999999,-1.623406509445665,-1.8450687935250372,2.335312581972353,4.451519605436659,0.040000000000000015,0,0,0.0,0,0,1,1
12 - Malignant melanoma 5 (SSM).jpg,1,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.4,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.32,0.0,0.12,0.0,0.32,25,0.96,dermatology,0.8359999999999999,0.14685593847940467,0.5,0.8000000000000003,0.8000000000000003,1.0,1.0,0.908,0.08621678104251712,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,-4.999999999999999,-0.5157495053549611,-0.5861523276913996,2.3677076139034963,3.3403032361945715,0.040000000000000015,1,1,0.0,1,1,1,1
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.36,25,1.0,dermatology,0.9461538461538462,0.11266014242982166,0.5999999999999999,0.9000000000000002,1.0,1.0,1.0,0.976923076923077,0.05991446895152777,0.8,1.0,1.0,1.0,1.0,0.0,-2.780248042833617,-2.682395229845191,2.296704583109783,3.5444726521895835,0.0,0,0,0.0,0,0,1,1
17 - Benign Junctional Nevus.jpg,0,0.0,0.04,0.0,0.0,0.0,0.24,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.12,0.0,0.16,0.0,0.04,0.0,0.0,25,0.9166666666666666,dermatology,0.7000000000000001,0.12792042981336627,0.5,0.5999999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.7916666666666669,0.12401124093721455,0.5,0.7999999999999999,0.7999999999999999,0.9000000000000002,0.9000000000000002,-3.464101615137755,-0.3126943839882301,-1.5309274813634752,2.4972413961086994,2.1649808657342478,0.08333333333333333,0,0,1.0,0,0,1,1
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.12,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.16,25,0.8461538461538461,dermatology,0.7846153846153847,0.19513309067639728,0.5,0.5999999999999999,0.8,1.0,1.0,0.9000000000000002,0.09128709291752764,0.8,0.8,0.9000000000000002,1.0,1.0,-2.178716804014733,-0.22352947935308312,0.0,2.4993041103382088,2.0096254236012703,0.1538461538461538,0,0,0.0,0,0,1,1
18 - Benign Granuloma Pyogenicum.jpg,0,0.0,0.12,0.0,0.16,0.0,0.24,0.0,0.44,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.24,0.0,0.32,0.0,0.12,0.0,0.12,0.0,0.0,25,0.56,dermatology,0.6639999999999999,0.14106735979665874,0.4000000000000001,0.5999999999999998,0.6999999999999997,0.6999999999999997,0.8999999999999997,0.812,0.11298967504452195,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.2574593588973013,-0.06861139913014963,-0.6302457386665327,2.78181098852882,0.5972035732733508,0.44,6,8,11.0,6,8,1,1
