state,expt city,subject,own,meta,confidence,actual
Alabama,Birmingham,52966,0,0.6,0.75,0
Alabama,Birmingham,sub1,0,0.69,0.7,0
Alabama,Birmingham,31720,0,0.65,0.6,0
Alabama,Birmingham,31828,1,1,1,0
Alabama,Birmingham,32008,0,0.7,0.6,0
Alabama,Birmingham,33550,1,1,1,0
Alabama,Birmingham,43924,0,0.4,0.6,0
Alabama,Birmingham,44383,0,0.4,0.5,0
Alabama,Birmingham,52807,1,0.6,1,0
Alabama,Birmingham,57337,0,0.5,0.6,0
Alabama,Birmingham,57346,0,0.6,0.6,0
Alabama,Birmingham,57394,1,0.6,0.75,0
Alabama,Birmingham,57427,0,0.65,0.8,0
Alabama,Birmingham,57436,1,0.8,0.6,0
Alabama,Birmingham,666,0,0.6,1,0
Alabama,Birmingham,a,1,0.8,0.7,0
Alabama,Birmingham,a2,1,0.95,0.95,0
Alabama,Birmingham,b2,1,0.8,1,0
Alabama,Birmingham,b3,1,0.4,0.5,0
Alabama,Birmingham,b4,1,0.7,0.9,0
Alabama,Birmingham,b5,1,0.8,0.75,0
Alabama,Birmingham,c1,1,0.7,1,0
Alabama,Birmingham,c2,1,0.7,0.6,0
Alabama,Birmingham,c3,1,0.8,0.9,0
Alabama,Birmingham,c4,0,0.4,0.75,0
Alabama,Birmingham,d10,0,0.4,0.6,0
Alabama,Birmingham,d2,0,0.2,0.5,0
Alabama,Birmingham,d3,1,0.8,1,0
Alabama,Birmingham,d6,1,0.5,0.5,0
Alabama,Birmingham,d6b,1,0.75,0.5,0
Alabama,Birmingham,d7,0,0.5,0.7,0
Alabama,Birmingham,d8,1,0.87,0.7,0
Alabama,Birmingham,d9,1,0.5,0.5,0
Alaska,Anchorage,52966,0,0.7,0.9,0
Alaska,Anchorage,sub1,0,0.4,0.8,0
Alaska,Anchorage,31720,0,0.55,1,0
Alaska,Anchorage,31828,0,1,1,0
Alaska,Anchorage,32008,1,0.65,1,0
Alaska,Anchorage,33550,0,0.1,1,0
Alaska,Anchorage,43924,1,0.9,0.9,0
Alaska,Anchorage,44383,1,0.7,0.7,0
Alaska,Anchorage,52807,1,0.6,0.8,0
Alaska,Anchorage,57337,0,0.6,0.5,0
Alaska,Anchorage,57346,0,0.3,0.6,0
Alaska,Anchorage,57394,0,0.4,1,0
Alaska,Anchorage,57427,0,0.75,1,0
Alaska,Anchorage,57436,0,0.2,1,0
Alaska,Anchorage,666,0,0.4,1,0
Alaska,Anchorage,a,0,0.7,0.5,0
Alaska,Anchorage,a2,0,0.95,1,0
Alaska,Anchorage,b2,0,0.3,1,0
Alaska,Anchorage,b3,1,0.8,0.85,0
Alaska,Anchorage,b4,1,0.6,0.6,0
Alaska,Anchorage,b5,0,0.4,0.8,0
Alaska,Anchorage,c1,0,0.35,1,0
Alaska,Anchorage,c2,1,0.8,0.5,0
Alaska,Anchorage,c3,0,0.2,1,0
Alaska,Anchorage,c4,0,0.5,0.9,0
Alaska,Anchorage,d10,1,0.8,0.8,0
Alaska,Anchorage,d2,1,0.6,0.5,0
Alaska,Anchorage,d3,1,0.9,1,0
Alaska,Anchorage,d6,0,0.2,0.7,0
Alaska,Anchorage,d6b,1,0.75,0.5,0
Alaska,Anchorage,d7,0,0.4,1,0
Alaska,Anchorage,d8,1,0.9,0.8,0
Alaska,Anchorage,d9,1,0.55,0.5,0
Arizona,Phoenix,52966,1,0.85,0.9,1
Arizona,Phoenix,sub1,1,0.7,0.6,1
Arizona,Phoenix,31720,0,0.6,0.55,1
Arizona,Phoenix,31828,1,0.01,0.5,1
Arizona,Phoenix,32008,1,0.85,1,1
Arizona,Phoenix,33550,1,0.9,1,1
Arizona,Phoenix,43924,1,0.8,0.8,1
Arizona,Phoenix,44383,1,1,1,1
Arizona,Phoenix,52807,1,0.8,0.95,1
Arizona,Phoenix,57337,1,1,1,1
Arizona,Phoenix,57346,1,1,1,1
Arizona,Phoenix,57394,1,0.6,0.9,1
Arizona,Phoenix,57427,0,0.85,0.75,1
Arizona,Phoenix,57436,1,0.8,1,1
Arizona,Phoenix,666,1,0.7,1,1
Arizona,Phoenix,a,1,0.8,1,1
Arizona,Phoenix,a2,1,0.95,1,1
Arizona,Phoenix,b2,0,0.7,1,1
Arizona,Phoenix,b3,0,0.55,0.5,1
Arizona,Phoenix,b4,1,0.7,0.9,1
Arizona,Phoenix,b5,1,0.9,0.8,1
Arizona,Phoenix,c1,1,0.8,0.8,1
Arizona,Phoenix,c2,1,0.8,0.7,1
Arizona,Phoenix,c3,1,0.9,0.9,1
Arizona,Phoenix,c4,1,0.9,0.9,1
Arizona,Phoenix,d10,1,0.8,0.6,1
Arizona,Phoenix,d2,0,0.5,0.5,1
Arizona,Phoenix,d3,1,0.8,1,1
Arizona,Phoenix,d6,1,0.8,0.9,1
Arizona,Phoenix,d6b,1,0.75,1,1
Arizona,Phoenix,d7,1,0.8,0.8,1
Arizona,Phoenix,d8,1,0.8,0.6,1
Arizona,Phoenix,d9,1,0.5,0.5,1
Arkansas,Little_Rock,52966,1,0.75,0.9,1
Arkansas,Little_Rock,sub1,1,0.7,0.5,1
Arkansas,Little_Rock,31720,1,0.75,1,1
Arkansas,Little_Rock,31828,0,0.01,1,1
Arkansas,Little_Rock,32008,1,0.55,0.7,1
Arkansas,Little_Rock,33550,1,0.8,1,1
Arkansas,Little_Rock,43924,1,0.7,0.6,1
Arkansas,Little_Rock,44383,0,0.3,0.6,1
Arkansas,Little_Rock,52807,1,0.6,0.95,1
Arkansas,Little_Rock,57337,1,0.7,0.7,1
Arkansas,Little_Rock,57346,0,0.8,1,1
Arkansas,Little_Rock,57394,1,0.8,0.75,1
Arkansas,Little_Rock,57427,1,0.55,0.65,1
