subject,qname,own,meta,qtext,actual,confidence
R_vOdo0qVLIe1SV5n,station,1,0.67,Grand Central in New York is the world's most used train station.,0,0.8
R_vOdo0qVLIe1SV5n,letters,1,0.87,There are more 5 letter words than 12 letter words,0,1
R_vOdo0qVLIe1SV5n,japan,1,0.78,Japan has the world's highest life expectancy,0,0.9
R_vOdo0qVLIe1SV5n,kili,1,0.77,Mount Kilimanjaro is higher than Denali,0,0.8
R_vOdo0qVLIe1SV5n,nile,1,0.56,The Nile River is more than double the length of the Volga,0,0.6
R_vOdo0qVLIe1SV5n,muon,0,0.12,A muon has negative electric charge,1,0.9
R_vOdo0qVLIe1SV5n,insects,1,0.34,Centipedes are considered insects,0,0.7
R_vOdo0qVLIe1SV5n,jhb,1,0.9,Johannesburg is one of South Africa's three capital cities,0,0.8
R_vOdo0qVLIe1SV5n,wu,0,0.45,More people speak Wu Chinese than Cantonese,1,0.6
R_vOdo0qVLIe1SV5n,living,0,0.78,More living languages originate in N/S America than Europe,1,0.7
R_vOdo0qVLIe1SV5n,mozam,0,0.56,Portuguese is the official language of Mozambique,1,0.6
R_vOdo0qVLIe1SV5n,red,1,0.76,Red is higher frequency light than Blue,0,0.9
R_vOdo0qVLIe1SV5n,russian,1,0.24,The Russian Cyrillic alphabet contains 29 letters,0,0.7
R_vOdo0qVLIe1SV5n,eggs,1,0.65,A monotreme is a mammal which lays eggs,1,0.8
R_vOdo0qVLIe1SV5n,ecuador,0,0.05,The point furthest from Earth's center is in Ecuador.,1,1
R_vOdo0qVLIe1SV5n,jupiter,1,0.67,Jupiter was first discovered by Galileo Galilei,0,0.7
R_vOdo0qVLIe1SV5n,Boer,0,0.24,The Crimean War was fought before the Boer Wars,1,0.8
R_vOdo0qVLIe1SV5n,moldova,0,0.22,Transnistria is a disputed territory in Moldova,1,0.6
R_vOdo0qVLIe1SV5n,alex,0,0.56,Alexander the Great became Pharaoh of Egypt,1,0.6
R_vOdo0qVLIe1SV5n,leg,0,0.33,Blackbeard had a wooden leg,0,0.7
R_vOdo0qVLIe1SV5n,alpha,0,0.56,An alpha particle is identical to a helium nucleus,1,0.7
R_vOdo0qVLIe1SV5n,china,0,0.24,China borders the same number of countries as Russia,1,0.7
R_vOdo0qVLIe1SV5n,constant,0,0.56,Avogadro's constant is greater than Planck's constant,1,0.8
R_vOdo0qVLIe1SV5n,joan,1,0.66,Joan of Arc fought at the Battle of Agincourt,0,0.9
R_vOdo0qVLIe1SV5n,nigeria,1,0.44,Nigeria is the country with most indigenous languages,0,0.8
R_vOdo0qVLIe1SV5n,zip,0,0.45,The Empire State Building has its own zip code.,1,0.6
R_vOdo0qVLIe1SV5n,khan,0,0.23,Genghis Khan's real name was Temujin,1,0.7
R_vOdo0qVLIe1SV5n,norway,0,0.45,Norway separated from Sweden in the 20th Century,1,0.7
R_vOdo0qVLIe1SV5n,baikal,0,0.34,Lake Baikal is the deepest lake in the world.,1,0.7
R_vOdo0qVLIe1SV5n,billy,1,0.34,Billy the Kid never actually shot anyone dead,0,0.6
R_vOdo0qVLIe1SV5n,cyprus,1,0.45,Cyprus is the only country to depict its map on its flag,0,0.6
R_vOdo0qVLIe1SV5n,Beijing,0,0.44,Shanghai has a greater population than Beijing,1,0.8
R_vOdo0qVLIe1SV5n,Borneo,0,0.23,The island of Borneo is occupied by three countries,1,0.7
R_vOdo0qVLIe1SV5n,churchil,1,0.34,Sir Winston churchil was a Labour Prime Minister,0,0.7
R_vOdo0qVLIe1SV5n,einstein,0,0.44,Albert Einstein never won a Nobel Prize in Physics,0,0.7
R_vOdo0qVLIe1SV5n,fluffy,0,0.24,There is no German word meaning 'fluffy',0,0.8
R_vOdo0qVLIe1SV5n,hydrogen,1,0.33,"When Hydrogen nuclei fuse, total mass decreases",1,0.7
R_vOdo0qVLIe1SV5n,indiana,0,0.23,"Of all the American state flags, Indiana's has the most stars.",0,0.7
R_vOdo0qVLIe1SV5n,euro,1,0.44,The currency of Switzerland is the Euro,0,0.6
R_vOdo0qVLIe1SV5n,Georgia,0,0.56,Abkhazia is a disputed territory in Georgia.,1,0.7
R_vOdo0qVLIe1SV5n,brass,1,0.67,Brass is an alloy of Copper and Mercury,0,0.7
R_vOdo0qVLIe1SV5n,faroe,1,0.45,The Faroe Islands are an Icelandic territory.,0,0.7
R_vOdo0qVLIe1SV5n,french,0,0.54,There are more native Japanese speakers than native French speakers,1,0.7
R_vOdo0qVLIe1SV5n,andes,1,0.44,Part of the Andes mountain range is in Brazil.,0,0.6
R_vOdo0qVLIe1SV5n,aorta,0,0.1,The aorta is a vein,0,1
R_vOdo0qVLIe1SV5n,bigben,0,0.14,The White House was built before Big Ben,1,0.9
R_vOdo0qVLIe1SV5n,Greek,0,0.55,There are 24 letters in the Greek alphabet,1,0.7
R_vOdo0qVLIe1SV5n,birm,0,0.14,"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.8
R_vOdo0qVLIe1SV5n,kyrgyz,0,0.56,More people speak Kyrgyz than Uzbek,0,0.6
R_vOdo0qVLIe1SV5n,leptons,0,0.44,Leptons are made up of quarks,0,0.6
R_vOdo0qVLIe1SV5n,macbeth,1,0.65,William Wallace lived before King Macbeth,0,0.8
R_vOdo0qVLIe1SV5n,iberian,0,0.55,Croatia is on the Iberian Peninsula.,0,0.7
R_vOdo0qVLIe1SV5n,nero,0,0.35,Nero was the first Roman Emperor,0,0.7
R_vOdo0qVLIe1SV5n,rome,0,0.12,The Magna Carta was signed in Rome,0,1
R_vOdo0qVLIe1SV5n,sahara,1,0.55,The Sahara Desert has a greater area than USA,0,0.8
R_vOdo0qVLIe1SV5n,cow,0,0.76,'Cheval' is French for 'cow',0,0.8
R_vOdo0qVLIe1SV5n,Tin,1,0.56,The chemical symbol for Tin is Sn,1,0.8
R_vOdo0qVLIe1SV5n,widow,0,0.43,Napoleon Bonaparte's first wife was a widow,1,0.7
R_vOdo0qVLIe1SV5n,rocket,1,0.34,Stephenson's Rocket was the first steam locomotive,0,0.7
R_vOdo0qVLIe1SV5n,nitrogen,1,0.98,Earth's atmosphere is mostly Nitrogen,1,1
R_vOdo0qVLIe1SV5n,riverSA,1,0.56,The Rub' al Khali is the longest river in Saudi Arabia.,0,0.8
R_vOdo0qVLIe1SV5n,vjday,0,0.34,VJ Day occurred prior to VE Day,0,0.7
R_vOdo0qVLIe1SV5n,landl,1,0.55,Paraguay is a landlocked country.,1,0.8
R_vOdo0qVLIe1SV5n,louis,1,0.65,Marie Antoinette was married to Louis XVI,1,0.6
R_vOdo0qVLIe1SV5n,uranus,0,0.01,Uranus is bigger than Saturn,0,1
R_vOdo0qVLIe1SV5n,death,1,0.77,Socrates was sentenced to death,1,0.8
R_vOdo0qVLIe1SV5n,Rosetta,0,0.22,The Rosetta Stone contains an Ancient Greek section,1,0.7
R_vOdo0qVLIe1SV5n,anagram,0,0.65,There are no single word anagrams of the word 'anagram',1,0.6
R_vOdo0qVLIe1SV5n,dot,1,0.45,The dot above an 'i' or 'j' is called a 'tittle',1,0.8
R_vOdo0qVLIe1SV5n,iron,1,0.77,The Iron Age comes after the Bronze Age,1,0.8
R_vOdo0qVLIe1SV5n,custer,1,0.25,Custer was defeated at Little Bighorn,1,0.8
R_vOdo0qVLIe1SV5n,newz,0,0.44,Wellington is located on New Zealand's North Island.,1,0.6
R_vOdo0qVLIe1SV5n,Ocean,1,0.75,The Indian Ocean is the third largest ocean in the world,1,0.8
R_vOdo0qVLIe1SV5n,Berlin,1,0.67,The Berlin Wall was constructed by East Germany,1,0.7
R_vOdo0qVLIe1SV5n,africa,1,0.67,There are more countries in Africa than Asia,1,0.7
R_vOdo0qVLIe1SV5n,lincoln,0,0.77,Schuyler Colfax was Abraham Lincoln's Vice President,0,0.8
R_vOdo0qVLIe1SV5n,atlantic,0,0.11,Columbus crossed the Atlantic in the Mary Rose,0,0.8
R_vOdo0qVLIe1SV5n,femur,1,0.96,The longest bone in the human body is the femur,1,1
R_vOdo0qVLIe1SV5n,year,1,0.78,A lightyear is a unit of distance,1,0.8
