subject,own,actual,image,meta,confidence
04bc5e,1,1,36 - Malignant ListaImagens\melanoma58.jpg,0.5,0.8
04bc5e,1,0,59 - Benign ListaImagens\tungiasis20.jpg,1,1
04bc5e,0,1,33 - Malignant ListaImagens\melanoma14.jpg,1,1
04bc5e,1,1,45 - Malignant ListaImagens\lentigo_maligna-melanoma2.jpg,1,1
04bc5e,1,0,23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,1,1
04bc5e,0,1,29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,1,1
04bc5e,1,1,6 - Malignant Melanoma superficial diseminante2 (SSM).jpg,1,1
04bc5e,1,1,7 - Malignant Superficial Spreading Melanoma (SSM).jpg,1,1
04bc5e,0,0,Benign Compound nevus - 498 011568HB.jpg,0.5,0.8
04bc5e,1,1,24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,1,1
04bc5e,1,1,26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,1,1
04bc5e,1,1,15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,1,1
04bc5e,0,1,43 - Malignant ListaImagens\keratoacanthoma4.jpg,0.3,0.7
04bc5e,0,0,Benign Blue nevus - 2378 005952HB.jpg,0.5,0.7
04bc5e,1,1,Malignant melanoma 2074 -019672HB.jpg,0.4,0.7
04bc5e,0,1,30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,0.4,0.7
04bc5e,0,0,44 - Benign ListaImagens\keratosis_seborrheic2.jpg,0.5,0.7
04bc5e,1,0,8 - benign carbuncle.jpg,1,1
04bc5e,1,1,57 - Malignant ListaImagens\basal_cell_carcinoma119.jpg,1,1
04bc5e,0,1,31 - Malignant ListaImagens\melanocytic_naevi_intradermal3.jpg,0,1
04bc5e,0,0,46 - Benign ListaImagens\Leprosy_tuberculoid84.jpg,0,1
04bc5e,1,1,Malignant Melanoma- 2349 019474HB.jpg,0.5,0.7
04bc5e,1,1,41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,0.5,0.8
04bc5e,1,1,10 - Malignant melanoma 3 (SSM).jpg,0.6,0.9
04bc5e,0,1,21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.5,0.8
04bc5e,1,0,Benign Compund nevus- 5297  011653HB.jpg,0.6,0.9
