title,subject,actual_price,actual,own_price_bin,own,meta
On The Couch,1,700,0,1,0,0.25
conversation with spoonbill,1,50,0,1,0,0.15
Nu debout,1,689600,1,1,0,0.35
ramana,1,9600,0,1,0,0.35
Captives,1,779200,1,2,1,0.4
Intruder,1,20,0,1,0,0.4
Midsummer Night,1,650,0,1,0,0.2
Waiting for the rain,1,100,0,1,0,0.2
Flor,1,800,0,2,1,0.4
Red Irises,1,2500,0,1,0,0.15
celestial,1,1900,0,2,1,0.4
Amazing land,1,89,0,1,0,0.2
Lotus Rising,1,14400,0,2,1,0.5
Mandala No3,1,1500,0,1,0,0.1
Quality Material,1,4408000,1,2,1,0.45
It is my thing this Evening,1,4500,0,1,0,0.3
Untitled - P137,1,1810276,1,1,0,0.25
Canada Two Toronto,1,8550,0,1,0,0.3
Night,1,1384000,1,1,0,0.25
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",1,240000,1,1,0,0.25
Head and Bottle,1,6536000,1,2,1,0.4
Keep Me Safe,1,119556,1,2,1,0.55
Mouth #2,1,2168000,1,2,1,0.7
M-39,1,96000,1,2,1,0.35
Armenian Question,1,288000,1,1,0,0.25
Lip-biter,1,384000,1,2,1,0.35
Elemental 11,1,675,0,2,1,0.6
Interval Series apolyo,1,9000,0,2,1,0.55
Galloping Horse Blur,1,1200,0,1,0,0.35
Squirrel Hole,1,85,0,1,0,0.4
Red Scarf,1,54000,1,1,0,0.35
Prelude,1,7500,0,1,0,0.3
Asleep,1,2500,0,1,0,0.3
muse 18,1,3750,0,1,0,0.35
scarlet,1,4000,0,2,1,0.35
Sinking Ship,1,902564,1,1,0,0.2
The town sonnets,1,950,0,2,1,0.6
The girl in red,1,950,0,1,0,0.3
Hotel Window,1,26896000,1,3,1,0.9
Botticelli e Filippino,1,7000,0,2,1,0.6
Ericksons,1,10344000,1,2,1,0.5
BLUE SELLY 2,1,3200,0,1,0,0.25
Censorship,1,7500,0,2,1,0.4
You are beautiful,1,2800,0,1,0,0.4
Portrait of the Artist and His Friends,1,2618925,1,1,0,0.35
HOW MUCH,1,25,0,1,0,0.25
Chorus,1,4800,0,1,0,0.35
Tender Nurse,1,2256000,1,1,0,0.5
Morning,1,1100,0,2,1,0.4
Moth,1,747825,1,1,0,0.4
Green Dress In Blue Space,1,4500,0,1,0,0.35
Falling Figure with Bird,1,1248000,1,2,1,0.55
