state,expt city,subject,meta,own,actual
Alabama,Birmingham,1,0.6,0,0
Alabama,Birmingham,2,0.5,0,0
Alabama,Birmingham,3,0.6,1,0
Alabama,Birmingham,4,0.6,0,0
Alabama,Birmingham,5,0.5,1,0
Alabama,Birmingham,6,0.5,1,0
Alabama,Birmingham,7,0.6,1,0
Alabama,Birmingham,8,0.65,1,0
Alabama,Birmingham,9,0.8,1,0
Alabama,Birmingham,10,0.6,1,0
Alabama,Birmingham,11,0.65,1,0
Alabama,Birmingham,12,0.9,1,0
Alabama,Birmingham,13,0.5,0,0
Alabama,Birmingham,14,0.4,0,0
Alabama,Birmingham,15,0.5,0,0
Alabama,Birmingham,16,0.5,0,0
Alabama,Birmingham,17,0.3,0,0
Alabama,Birmingham,18,0.2,0,0
Alabama,Birmingham,19,0.6,0,0
Alabama,Birmingham,20,0.4,0,0
Alabama,Birmingham,21,0.7,1,0
Alabama,Birmingham,22,0.6,1,0
Alabama,Birmingham,23,0.6,0,0
Alabama,Birmingham,24,0.9,1,0
Alabama,Birmingham,25,0.6,1,0
Alabama,Birmingham,26,0.5,0,0
Alabama,Birmingham,27,0.5,0,0
Alabama,Birmingham,28,0.75,1,0
Alabama,Birmingham,29,0.5,1,0
Alabama,Birmingham,30,0.2,0,0
Alabama,Birmingham,31,0.9,1,0
Alabama,Birmingham,32,0.65,1,0
Alabama,Birmingham,33,1,1,0
Alabama,Birmingham,34,0.5,0,0
Alabama,Birmingham,35,0.5,0,0
Alabama,Birmingham,36,0.7,1,0
Alabama,Birmingham,37,0.9,0,0
Alabama,Birmingham,38,0.4,0,0
Alabama,Birmingham,39,0.5,1,0
Alabama,Birmingham,40,0.2,0,0
Alabama,Birmingham,41,0.5,0,0
Alabama,Birmingham,42,0.5,0,0
Alabama,Birmingham,43,0.1,1,0
Alabama,Birmingham,44,0.6,1,0
Alabama,Birmingham,45,0.75,1,0
Alabama,Birmingham,46,0.1,0,0
Alabama,Birmingham,47,0.8,1,0
Alabama,Birmingham,48,0.1,0,0
Alabama,Birmingham,49,0.4,0,0
Alabama,Birmingham,50,0.8,1,0
Alabama,Birmingham,51,0.95,1,0
Alaska,Anchorage,1,0.6,0,0
Alaska,Anchorage,2,0.9,1,0
Alaska,Anchorage,3,1,1,0
Alaska,Anchorage,4,0.7,0,0
Alaska,Anchorage,5,0.9,0,0
Alaska,Anchorage,6,0.7,1,0
Alaska,Anchorage,7,0.8,1,0
Alaska,Anchorage,8,0.95,1,0
Alaska,Anchorage,9,0.6,0,0
Alaska,Anchorage,10,0.4,0,0
Alaska,Anchorage,11,0.8,1,0
Alaska,Anchorage,12,0.9,1,0
Alaska,Anchorage,13,0.6,0,0
Alaska,Anchorage,14,0.6,0,0
Alaska,Anchorage,15,0.65,1,0
Alaska,Anchorage,16,0.2,0,0
Alaska,Anchorage,17,0.2,0,0
Alaska,Anchorage,18,0.7,1,0
Alaska,Anchorage,19,0.75,1,0
Alaska,Anchorage,20,0.4,0,0
Alaska,Anchorage,21,0.7,1,0
Alaska,Anchorage,22,0.4,0,0
Alaska,Anchorage,23,0.6,0,0
Alaska,Anchorage,24,0.7,1,0
Alaska,Anchorage,25,0.8,1,0
Alaska,Anchorage,26,0.75,0,0
Alaska,Anchorage,27,0.5,0,0
Alaska,Anchorage,28,0.75,0,0
Alaska,Anchorage,29,0.5,1,0
Alaska,Anchorage,30,0.2,0,0
Alaska,Anchorage,31,0.95,0,0
Alaska,Anchorage,32,0.7,0,0
Alaska,Anchorage,33,0.6,0,0
Alaska,Anchorage,34,0.3,0,0
Alaska,Anchorage,35,0.25,0,0
Alaska,Anchorage,36,0.7,1,0
Alaska,Anchorage,37,0.6,0,0
Alaska,Anchorage,38,0.6,0,0
Alaska,Anchorage,39,0.4,1,0
Alaska,Anchorage,40,0.5,1,0
Alaska,Anchorage,41,0.6,0,0
Alaska,Anchorage,42,0.7,0,0
Alaska,Anchorage,43,0.1,0,0
Alaska,Anchorage,44,0.8,1,0
Alaska,Anchorage,45,0.8,1,0
Alaska,Anchorage,46,0.5,0,0
Alaska,Anchorage,47,0.8,1,0
Alaska,Anchorage,48,0.8,1,0
Alaska,Anchorage,49,0.6,0,0
Alaska,Anchorage,50,1,1,0
Alaska,Anchorage,51,0.05,0,0
Arizona,Phoenix,1,0.7,1,1
Arizona,Phoenix,2,0.9,1,1
Arizona,Phoenix,3,0.6,1,1
Arizona,Phoenix,4,0.7,0,1
Arizona,Phoenix,5,0,1,1
Arizona,Phoenix,6,0.65,1,1
Arizona,Phoenix,7,0.8,1,1
Arizona,Phoenix,8,0.05,1,1
Arizona,Phoenix,9,0.9,1,1
Arizona,Phoenix,10,0.4,0,1
Arizona,Phoenix,11,0.3,0,1
Arizona,Phoenix,12,0.9,1,1
