state,expt city,subject,meta,own,actual
Alabama,Birmingham,82pk5x1,0.8,1,0
Alabama,Birmingham,93gb021,0.95,1,0
Alabama,Birmingham,80pf3x1,0.9,1,0
Alabama,Birmingham,78mt2x1,0.4,0,0
Alabama,Birmingham,772h2x1,0.5,0,0
Alabama,Birmingham,100hx091,0.9,1,0
Alabama,Birmingham,83er6x1,0.4,0,0
Alabama,Birmingham,107fk0x1,0.2,0,0
Alabama,Birmingham,65mlx1,0.95,1,0
Alabama,Birmingham,85jr8x1,0.65,0,0
Alabama,Birmingham,76m2x1,0.9,1,0
Alabama,Birmingham,63dv1x1,0.6,0,0
Alabama,Birmingham,103kd0x1,0.7,1,0
Alabama,Birmingham,742x1f2,0.75,1,0
Alabama,Birmingham,98pmr1,0.3,0,0
Alabama,Birmingham,75ch2x1,0.1,0,0
Alabama,Birmingham,64ps1x1,0.5,1,0
Alabama,Birmingham,84nr7x1,0.9,1,0
Alabama,Birmingham,86jr9x1,0.4,1,0
Alabama,Birmingham,680k5x1,0.5,0,0
Alabama,Birmingham,102ck1,0.5,1,0
Alabama,Birmingham,106L151,0.6,0,0
Alabama,Birmingham,60x03x1,0.5,1,0
Alabama,Birmingham,99tfix1,0.5,1,0
Alabama,Birmingham,72g2b1,0.7,1,0
Alabama,Birmingham,58xob1,0.75,1,0
Alabama,Birmingham,55xwx1,0.6,0,0
Alabama,Birmingham,123y2x1,0.3,0,0
Alabama,Birmingham,109m181,0.9,1,0
Alabama,Birmingham,122vzx1,0.9,0,0
Alabama,Birmingham,95dvx1,0.5,1,0
Alabama,Birmingham,71v2x1,0.5,1,0
Alaska,Anchorage,82pk5x1,0.85,1,0
Alaska,Anchorage,93gb021,0.95,1,0
Alaska,Anchorage,80pf3x1,0.7,0,0
Alaska,Anchorage,78mt2x1,0.4,0,0
Alaska,Anchorage,772h2x1,0.05,0,0
Alaska,Anchorage,100hx091,0.35,0,0
Alaska,Anchorage,83er6x1,0.8,1,0
Alaska,Anchorage,107fk0x1,0.2,0,0
Alaska,Anchorage,65mlx1,1,1,0
Alaska,Anchorage,85jr8x1,0.7,0,0
Alaska,Anchorage,76m2x1,0.95,1,0
Alaska,Anchorage,63dv1x1,0.7,1,0
Alaska,Anchorage,103kd0x1,0.6,0,0
Alaska,Anchorage,742x1f2,0.95,1,0
Alaska,Anchorage,98pmr1,0.05,0,0
Alaska,Anchorage,75ch2x1,0.2,0,0
Alaska,Anchorage,64ps1x1,0.3,0,0
Alaska,Anchorage,84nr7x1,0.5,1,0
Alaska,Anchorage,86jr9x1,0.4,1,0
Alaska,Anchorage,680k5x1,0.5,1,0
Alaska,Anchorage,102ck1,0.5,0,0
Alaska,Anchorage,106L151,0.65,0,0
Alaska,Anchorage,60x03x1,0.5,0,0
Alaska,Anchorage,99tfix1,0.6,1,0
Alaska,Anchorage,72g2b1,0.8,1,0
Alaska,Anchorage,58xob1,0.5,1,0
Alaska,Anchorage,55xwx1,0.9,0,0
Alaska,Anchorage,123y2x1,0.3,0,0
Alaska,Anchorage,109m181,0.9,1,0
Alaska,Anchorage,122vzx1,0.9,0,0
Alaska,Anchorage,95dvx1,0.7,1,0
Alaska,Anchorage,71v2x1,0.5,1,0
Arizona,Phoenix,82pk5x1,0.92,1,1
Arizona,Phoenix,93gb021,1,1,1
Arizona,Phoenix,80pf3x1,0.9,1,1
Arizona,Phoenix,78mt2x1,0.4,0,1
Arizona,Phoenix,772h2x1,0.9,1,1
Arizona,Phoenix,100hx091,0.93,1,1
Arizona,Phoenix,83er6x1,0.7,1,1
Arizona,Phoenix,107fk0x1,0.8,1,1
Arizona,Phoenix,65mlx1,0.95,1,1
Arizona,Phoenix,85jr8x1,0.45,0,1
Arizona,Phoenix,76m2x1,0.8,0,1
Arizona,Phoenix,63dv1x1,0.75,1,1
Arizona,Phoenix,103kd0x1,0.7,0,1
Arizona,Phoenix,742x1f2,0.9,1,1
Arizona,Phoenix,98pmr1,0.96,1,1
Arizona,Phoenix,75ch2x1,0.8,0,1
Arizona,Phoenix,64ps1x1,0.8,1,1
Arizona,Phoenix,84nr7x1,0.5,1,1
Arizona,Phoenix,86jr9x1,0.4,1,1
Arizona,Phoenix,680k5x1,0.7,1,1
Arizona,Phoenix,102ck1,0.5,0,1
Arizona,Phoenix,106L151,0.9,1,1
Arizona,Phoenix,60x03x1,0.25,0,1
Arizona,Phoenix,99tfix1,0.4,1,1
Arizona,Phoenix,72g2b1,0.95,1,1
Arizona,Phoenix,58xob1,0.8,1,1
Arizona,Phoenix,55xwx1,0.9,1,1
Arizona,Phoenix,123y2x1,0.7,1,1
Arizona,Phoenix,109m181,0.9,1,1
Arizona,Phoenix,122vzx1,0.8,1,1
Arizona,Phoenix,95dvx1,0.8,1,1
Arizona,Phoenix,71v2x1,0.5,1,1
Arkansas,Little_Rock,82pk5x1,0.9,1,1
Arkansas,Little_Rock,93gb021,1,1,1
Arkansas,Little_Rock,80pf3x1,0.8,1,1
Arkansas,Little_Rock,78mt2x1,0.4,0,1
Arkansas,Little_Rock,772h2x1,0.9,1,1
Arkansas,Little_Rock,100hx091,0.9,1,1
Arkansas,Little_Rock,83er6x1,0.8,1,1
Arkansas,Little_Rock,107fk0x1,0.5,0,1
Arkansas,Little_Rock,65mlx1,0.9,1,1
Arkansas,Little_Rock,85jr8x1,0.65,0,1
Arkansas,Little_Rock,76m2x1,0.8,1,1
Arkansas,Little_Rock,63dv1x1,0.73,1,1
Arkansas,Little_Rock,103kd0x1,0.8,1,1
Arkansas,Little_Rock,742x1f2,0.9,1,1
Arkansas,Little_Rock,98pmr1,0.89,1,1
Arkansas,Little_Rock,75ch2x1,0.5,1,1
Arkansas,Little_Rock,64ps1x1,0.9,1,1
Arkansas,Little_Rock,84nr7x1,0.2,0,1
Arkansas,Little_Rock,86jr9x1,0.4,0,1
Arkansas,Little_Rock,680k5x1,0.5,0,1
Arkansas,Little_Rock,102ck1,0.5,0,1
Arkansas,Little_Rock,106L151,0.7,1,1
Arkansas,Little_Rock,60x03x1,0.5,1,1
Arkansas,Little_Rock,99tfix1,0.5,1,1
Arkansas,Little_Rock,72g2b1,0.7,1,1
Arkansas,Little_Rock,58xob1,0.75,1,1
Arkansas,Little_Rock,55xwx1,0.95,1,1
Arkansas,Little_Rock,123y2x1,0.7,1,1
Arkansas,Little_Rock,109m181,0.8,0,1
Arkansas,Little_Rock,122vzx1,0.7,0,1
Arkansas,Little_Rock,95dvx1,0.4,0,1
Arkansas,Little_Rock,71v2x1,0.5,1,1
California,Los_Angeles,82pk5x1,0.4,0,0
California,Los_Angeles,93gb021,0.5,0,0
California,Los_Angeles,80pf3x1,0.5,1,0
California,Los_Angeles,78mt2x1,0.5,0,0
California,Los_Angeles,772h2x1,0.1,0,0
California,Los_Angeles,100hx091,0.05,0,0
California,Los_Angeles,83er6x1,0.8,0,0
California,Los_Angeles,107fk0x1,0.05,0,0
California,Los_Angeles,65mlx1,0.85,1,0
California,Los_Angeles,85jr8x1,0,0,0
California,Los_Angeles,76m2x1,0.95,1,0
California,Los_Angeles,63dv1x1,0.62,0,0
California,Los_Angeles,103kd0x1,0.9,1,0
California,Los_Angeles,742x1f2,0.5,0,0
California,Los_Angeles,98pmr1,0.9,0,0
California,Los_Angeles,75ch2x1,0.9,0,0
California,Los_Angeles,64ps1x1,0,0,0
California,Los_Angeles,84nr7x1,1,1,0
California,Los_Angeles,86jr9x1,0.6,0,0
California,Los_Angeles,680k5x1,0.1,0,0
California,Los_Angeles,102ck1,0.5,0,0
California,Los_Angeles,106L151,0.5,0,0
California,Los_Angeles,60x03x1,0.1,0,0
California,Los_Angeles,99tfix1,0.4,0,0
California,Los_Angeles,72g2b1,0.8,1,0
California,Los_Angeles,58xob1,0.75,1,0
California,Los_Angeles,55xwx1,1,1,0
California,Los_Angeles,123y2x1,0.3,0,0
California,Los_Angeles,109m181,0.2,0,0
California,Los_Angeles,122vzx1,1,1,0
California,Los_Angeles,95dvx1,0.95,1,0
California,Los_Angeles,71v2x1,0.5,0,0
Colorado,Denver,82pk5x1,0.7,0,1
Colorado,Denver,93gb021,1,1,1
Colorado,Denver,80pf3x1,0.9,1,1
Colorado,Denver,78mt2x1,0.4,0,1
Colorado,Denver,772h2x1,0.6,1,1
Colorado,Denver,100hx091,0.9,1,1
Colorado,Denver,83er6x1,0.7,1,1
Colorado,Denver,107fk0x1,0.9,1,1
Colorado,Denver,65mlx1,0.98,1,1
Colorado,Denver,85jr8x1,0.35,0,1
Colorado,Denver,76m2x1,0.8,1,1
Colorado,Denver,63dv1x1,0.81,1,1
Colorado,Denver,103kd0x1,0.7,1,1
Colorado,Denver,742x1f2,0.85,1,1
Colorado,Denver,98pmr1,0.98,1,1
Colorado,Denver,75ch2x1,0.5,0,1
Colorado,Denver,64ps1x1,0.9,1,1
Colorado,Denver,84nr7x1,0.5,1,1
Colorado,Denver,86jr9x1,0.6,1,1
Colorado,Denver,680k5x1,0.2,0,1
Colorado,Denver,102ck1,0.5,0,1
