title,subject,actual_price,actual,own_price_bin,own,meta
On The Couch,barium,700,0,1,0,0.3
conversation with spoonbill,barium,50,0,1,0,0.03
Nu debout,barium,689600,1,1,0,0.1
ramana,barium,9600,0,2,1,0.5
Captives,barium,779200,1,2,1,0.8
Intruder,barium,20,0,1,0,0.6
Midsummer Night,barium,650,0,1,0,0.1
Waiting for the rain,barium,100,0,2,1,0.5
Flor,barium,800,0,2,1,0.1
Red Irises,barium,2500,0,1,0,0.1
celestial,barium,1900,0,2,1,0.8
Amazing land,barium,89,0,1,0,0.4
Lotus Rising,barium,14400,0,0,0,0.08
Mandala No3,barium,1500,0,2,1,0.1
Quality Material,barium,4408000,1,1,0,0.02
It is my thing this Evening,barium,4500,0,2,1,0.9
Untitled - P137,barium,1810276,1,2,1,0.2
Canada Two Toronto,barium,8550,0,1,0,0.2
Night,barium,1384000,1,1,0,0.05
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",barium,240000,1,0,0,0.05
Head and Bottle,barium,6536000,1,2,1,0.9
Keep Me Safe,barium,119556,1,1,0,0.2
Mouth #2,barium,2168000,1,2,1,0.8
M-39,barium,96000,1,0,0,0.1
Armenian Question,barium,288000,1,2,1,0.5
Lip-biter,barium,384000,1,0,0,0.1
Elemental 11,barium,675,0,2,1,0.4
Interval Series apolyo,barium,9000,0,2,1,0.7
Galloping Horse Blur,barium,1200,0,1,0,0.8
Squirrel Hole,barium,85,0,2,1,0.4
Red Scarf,barium,54000,1,2,1,0.9
Prelude,barium,7500,0,1,0,0.1
Asleep,barium,2500,0,2,1,0.8
muse 18,barium,3750,0,1,0,0.2
scarlet,barium,4000,0,2,1,0.4
Sinking Ship,barium,902564,1,2,1,0.8
The town sonnets,barium,950,0,1,0,0.2
The girl in red,barium,950,0,1,0,0.8
Hotel Window,barium,26896000,1,3,1,0.9
Botticelli e Filippino,barium,7000,0,1,0,0.3
Ericksons,barium,10344000,1,2,1,0.8
BLUE SELLY 2,barium,3200,0,1,0,0.4
Censorship,barium,7500,0,1,0,0.3
You are beautiful,barium,2800,0,1,0,0.4
Portrait of the Artist and His Friends,barium,2618925,1,1,0,0.3
HOW MUCH,barium,25,0,1,0,0.15
